0	-1.267	0.465	2.198	3.931	5.663	7.396	9.129	10.861	12.594	14.327	16.059	17.792	19.525	21.257	22.99	24.723	26.455	28.188	29.921	31.653	33.386	35.119	36.851	38.584	40.317	42.05	43.782	45.515	47.248	48.98	50.713	52.446	54.178	55.911	57.644	59.376	61.109	62.842	64.574	66.307	68.04	69.772	71.505	73.238	74.97	76.703	78.436	80.168	81.901	83.634	85.366	87.099	88.832	90.564	92.297	94.03	95.762	97.495	99.228	100.96	102.693	104.426	106.158	107.891	109.624	111.356	113.089	114.822	116.554	118.287	120.02	121.752	123.485	125.218	126.95	128.683	130.416	132.149	133.881	135.614	137.347	139.079	140.812	142.545	144.277	146.01	147.743	149.475	151.208	152.941	154.673	156.406	158.139	159.871	161.604	163.337	165.069	166.802	168.535	170.267
2.4	0	0	0	0	0.451	1.445	2.356	3.243	4.036	4.733	5.355	5.915	6.424	6.888	7.312	7.732	8.17	8.625	9.093	9.565	10.029	10.478	10.906	11.314	11.7	12.05	12.363	12.645	12.898	13.121	13.315	13.482	13.624	13.744	13.845	13.931	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.873	13.715	13.521	13.284	12.981	12.607	12.177	11.703	11.209	10.71	10.214	9.725	9.24	8.751	8.249	7.723	7.166	6.576	5.942	5.248	4.473	3.619	2.691	1.652	0.416
2.6	0	0	0	0	0.491	1.515	2.459	3.383	4.208	4.932	5.578	6.158	6.683	7.158	7.589	8.013	8.452	8.903	9.359	9.812	10.25	10.671	11.07	11.451	11.812	12.141	12.441	12.711	12.952	13.164	13.348	13.506	13.64	13.754	13.851	13.934	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.875	13.72	13.531	13.303	13.025	12.682	12.282	11.836	11.362	10.879	10.395	9.913	9.433	8.953	8.469	7.958	7.402	6.801	6.148	5.43	4.63	3.757	2.819	1.772	0.533
2.8	0	0	0	0	0.523	1.575	2.552	3.513	4.371	5.124	5.792	6.391	6.93	7.415	7.85	8.274	8.71	9.153	9.594	10.026	10.44	10.834	11.208	11.565	11.909	12.226	12.513	12.772	13.002	13.203	13.377	13.527	13.654	13.763	13.856	13.935	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.876	13.724	13.541	13.319	13.055	12.739	12.365	11.944	11.49	11.022	10.549	10.075	9.601	9.127	8.649	8.143	7.588	6.982	6.317	5.584	4.771	3.889	2.944	1.891	0.65
3	0	0	0	0	0.549	1.627	2.637	3.637	4.529	5.308	5.999	6.614	7.166	7.658	8.094	8.516	8.947	9.379	9.805	10.215	10.606	10.976	11.33	11.672	12.001	12.305	12.58	12.828	13.046	13.238	13.403	13.545	13.667	13.77	13.86	13.937	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.878	13.728	13.549	13.333	13.078	12.781	12.432	12.034	11.598	11.141	10.679	10.213	9.746	9.276	8.803	8.301	7.746	7.136	6.464	5.723	4.903	4.015	3.065	2.008	0.767
3.2	0	0	0	0	0.568	1.672	2.718	3.757	4.681	5.487	6.197	6.829	7.391	7.888	8.324	8.743	9.166	9.586	9.995	10.384	10.754	11.106	11.444	11.772	12.087	12.378	12.642	12.878	13.087	13.269	13.426	13.561	13.677	13.776	13.863	13.938	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.88	13.732	13.556	13.347	13.099	12.812	12.484	12.109	11.692	11.247	10.789	10.329	9.868	9.403	8.934	8.433	7.88	7.268	6.593	5.847	5.025	4.135	3.182	2.123	0.883
3.4	0	0	0	0	0.581	1.713	2.794	3.871	4.827	5.659	6.389	7.035	7.606	8.108	8.542	8.956	9.371	9.777	10.168	10.539	10.892	11.229	11.553	11.866	12.168	12.447	12.699	12.924	13.123	13.295	13.445	13.574	13.684	13.781	13.865	13.939	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.881	13.735	13.563	13.359	13.119	12.84	12.525	12.171	11.772	11.34	10.888	10.429	9.969	9.508	9.041	8.542	7.99	7.378	6.702	5.956	5.136	4.248	3.295	2.235	0.994
3.6	0	0	0	0	0.59	1.75	2.866	3.98	4.969	5.825	6.574	7.233	7.812	8.316	8.749	9.157	9.562	9.954	10.329	10.685	11.023	11.345	11.654	11.954	12.244	12.51	12.751	12.965	13.154	13.318	13.461	13.584	13.691	13.785	13.868	13.94	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.883	13.739	13.57	13.37	13.137	12.867	12.562	12.222	11.841	11.423	10.979	10.522	10.059	9.594	9.126	8.629	8.078	7.468	6.794	6.051	5.236	4.353	3.403	2.341	1.088
3.8	0	0	0	0	0.597	1.785	2.934	4.086	5.106	5.985	6.751	7.422	8.009	8.516	8.946	9.348	9.742	10.121	10.481	10.822	11.146	11.454	11.75	12.037	12.314	12.568	12.798	13.002	13.181	13.337	13.474	13.593	13.698	13.79	13.87	13.941	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.884	13.742	13.575	13.381	13.153	12.892	12.596	12.267	11.901	11.497	11.062	10.609	10.145	9.675	9.201	8.699	8.147	7.538	6.867	6.13	5.323	4.447	3.496	2.426	1.166
4	0	0	0	0	0.602	1.816	2.999	4.187	5.237	6.137	6.92	7.604	8.198	8.707	9.134	9.528	9.912	10.278	10.625	10.952	11.261	11.556	11.839	12.113	12.378	12.621	12.84	13.034	13.204	13.354	13.486	13.602	13.704	13.794	13.873	13.942	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.886	13.746	13.581	13.39	13.169	12.915	12.628	12.311	11.955	11.563	11.138	10.69	10.226	9.753	9.273	8.765	8.208	7.598	6.928	6.195	5.393	4.522	3.569	2.494	1.23
4.2	0	0	0	0	0.605	1.845	3.06	4.279	5.354	6.277	7.08	7.778	8.38	8.891	9.314	9.701	10.074	10.427	10.76	11.073	11.37	11.652	11.922	12.185	12.438	12.669	12.877	13.062	13.226	13.37	13.498	13.61	13.71	13.798	13.875	13.943	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.888	13.749	13.587	13.399	13.183	12.936	12.659	12.352	12.007	11.624	11.208	10.765	10.302	9.826	9.34	8.825	8.264	7.65	6.979	6.246	5.447	4.577	3.623	2.546	1.282
4.4	0	0	0	0	0.606	1.871	3.107	4.349	5.456	6.407	7.231	7.944	8.554	9.067	9.487	9.866	10.227	10.568	10.887	11.188	11.471	11.741	12	12.25	12.492	12.712	12.911	13.088	13.246	13.385	13.509	13.618	13.715	13.801	13.877	13.944	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.89	13.753	13.593	13.408	13.196	12.957	12.688	12.39	12.056	11.682	11.274	10.836	10.375	9.897	9.404	8.882	8.313	7.694	7.02	6.285	5.485	4.616	3.662	2.585	1.326
4.6	0	0	0	0	0.606	1.884	3.121	4.393	5.541	6.526	7.375	8.104	8.723	9.238	9.653	10.023	10.372	10.7	11.007	11.295	11.566	11.823	12.07	12.309	12.54	12.751	12.942	13.112	13.264	13.399	13.519	13.626	13.721	13.805	13.879	13.945	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.892	13.757	13.599	13.417	13.209	12.976	12.715	12.427	12.102	11.737	11.336	10.903	10.444	9.964	9.465	8.934	8.358	7.731	7.051	6.313	5.511	4.64	3.686	2.613	1.362
4.8	0	0	0	0	0.604	1.856	3.1	4.407	5.608	6.632	7.509	8.256	8.886	9.403	9.813	10.172	10.51	10.825	11.12	11.394	11.652	11.897	12.133	12.363	12.585	12.787	12.97	13.135	13.281	13.412	13.529	13.633	13.726	13.808	13.881	13.946	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.894	13.761	13.606	13.426	13.222	12.993	12.74	12.462	12.145	11.789	11.394	10.966	10.509	10.027	9.522	8.982	8.396	7.762	7.074	6.329	5.523	4.651	3.699	2.631	1.391
5	0	0	0	0	0.579	1.783	3.036	4.383	5.651	6.724	7.635	8.405	9.046	9.562	9.965	10.314	10.64	10.943	11.222	11.483	11.729	11.964	12.19	12.411	12.625	12.82	12.997	13.155	13.298	13.425	13.538	13.64	13.73	13.811	13.883	13.947	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.895	13.765	13.612	13.436	13.235	13.011	12.764	12.494	12.187	11.838	11.45	11.026	10.57	10.085	9.574	9.025	8.43	7.785	7.088	6.336	5.524	4.649	3.7	2.638	1.404
5.2	0	0	0	0	0.491	1.659	2.922	4.311	5.667	6.8	7.755	8.552	9.201	9.716	10.111	10.449	10.762	11.049	11.315	11.563	11.799	12.024	12.243	12.456	12.662	12.851	13.021	13.175	13.313	13.436	13.547	13.646	13.735	13.814	13.885	13.948	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.897	13.77	13.619	13.445	13.249	13.029	12.788	12.525	12.225	11.884	11.502	11.082	10.626	10.139	9.622	9.064	8.457	7.8	7.092	6.33	5.51	4.63	3.681	2.624	1.394
5.4	0	0	0	0	0.348	1.481	2.748	4.179	5.648	6.868	7.877	8.698	9.353	9.865	10.251	10.576	10.873	11.145	11.398	11.636	11.862	12.079	12.29	12.496	12.696	12.879	13.044	13.193	13.327	13.447	13.556	13.652	13.739	13.817	13.886	13.948	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.899	13.774	13.626	13.455	13.262	13.047	12.811	12.555	12.262	11.927	11.551	11.134	10.679	10.189	9.665	9.097	8.479	7.809	7.087	6.312	5.48	4.59	3.64	2.587	1.363
5.6	0	0	0	0	0.162	1.247	2.505	3.972	5.603	6.939	8.001	8.842	9.501	10.007	10.382	10.692	10.973	11.232	11.474	11.702	11.92	12.129	12.333	12.533	12.727	12.905	13.065	13.21	13.34	13.458	13.563	13.658	13.743	13.82	13.888	13.949	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.901	13.778	13.633	13.466	13.276	13.065	12.834	12.584	12.298	11.968	11.596	11.182	10.728	10.235	9.704	9.126	8.495	7.811	7.073	6.28	5.432	4.53	3.575	2.526	1.311
