1	0.07525	1	0.3277	1	0.53715	1	0.69264	1	0.79175	1	0.86683	1	0.92276	1	0.9754	1	1.02124
1.02	0.07388	1.02	0.32627	1.02	0.53716	1.02	0.69518	1.02	0.79596	1.02	0.87232	1.02	0.92931	1.02	0.98333	1.02	1.0305
1.03	0.07256	1.03	0.32483	1.03	0.5371	1.03	0.69761	1.03	0.80008	1.03	0.87772	1.03	0.93576	1.03	0.99117	1.03	1.03965
1.05	0.07128	1.05	0.32338	1.05	0.53697	1.05	0.69993	1.05	0.80408	1.05	0.88301	1.05	0.94212	1.05	0.99892	1.05	1.04871
1.06	0.07005	1.06	0.32191	1.06	0.53677	1.06	0.70214	1.06	0.80798	1.06	0.8882	1.06	0.94837	1.06	1.00659	1.06	1.05765
1.08	0.06884	1.08	0.32041	1.08	0.5365	1.08	0.70424	1.08	0.81177	1.08	0.89328	1.08	0.95453	1.08	1.01418	1.08	1.0665
1.09	0.06764	1.09	0.31888	1.09	0.53615	1.09	0.70622	1.09	0.81544	1.09	0.89825	1.09	0.9606	1.09	1.02168	1.09	1.07525
1.11	0.06645	1.11	0.31732	1.11	0.53573	1.11	0.70808	1.11	0.819	1.11	0.90312	1.11	0.96657	1.11	1.02912	1.11	1.08389
1.12	0.06525	1.12	0.31571	1.12	0.53524	1.12	0.70982	1.12	0.82243	1.12	0.90788	1.12	0.97245	1.12	1.03649	1.12	1.09242
1.14	0.06403	1.14	0.31405	1.14	0.53467	1.14	0.71144	1.14	0.82573	1.14	0.91253	1.14	0.97824	1.14	1.04379	1.14	1.10086
1.16	0.06277	1.16	0.31233	1.16	0.53402	1.16	0.71293	1.16	0.8289	1.16	0.91707	1.16	0.98394	1.16	1.05103	1.16	1.10918
1.17	0.06147	1.17	0.31054	1.17	0.53329	1.17	0.71429	1.17	0.83193	1.17	0.9215	1.17	0.98955	1.17	1.05821	1.17	1.11741
1.19	0.0601	1.19	0.30867	1.19	0.53247	1.19	0.71551	1.19	0.83482	1.19	0.92581	1.19	0.99506	1.19	1.06534	1.19	1.12552
1.2	0.05865	1.2	0.30672	1.2	0.53157	1.2	0.71658	1.2	0.83756	1.2	0.93	1.2	1.00049	1.2	1.07242	1.2	1.13353
1.21	0.0571	1.21	0.30466	1.21	0.53058	1.21	0.71751	1.21	0.84014	1.21	0.93406	1.21	1.00582	1.21	1.07945	1.21	1.14143
1.23	0.05544	1.23	0.30249	1.23	0.5295	1.23	0.71829	1.23	0.84255	1.23	0.93801	1.23	1.01107	1.23	1.08644	1.23	1.14922
1.24	0.05364	1.24	0.3002	1.24	0.52831	1.24	0.71891	1.24	0.8448	1.24	0.94182	1.24	1.01622	1.24	1.09339	1.24	1.1569
1.26	0.05169	1.26	0.29777	1.26	0.52703	1.26	0.71936	1.26	0.84686	1.26	0.94551	1.26	1.02128	1.26	1.10031	1.26	1.16446
1.27	0.04957	1.27	0.29519	1.27	0.52563	1.27	0.71965	1.27	0.84874	1.27	0.94905	1.27	1.02624	1.27	1.1072	1.27	1.17191
1.29	0.04726	1.29	0.29244	1.29	0.52412	1.29	0.71975	1.29	0.85042	1.29	0.95246	1.29	1.03112	1.29	1.11405	1.29	1.17924
1.3	0.04473	1.3	0.28952	1.3	0.5225	1.3	0.71967	1.3	0.85189	1.3	0.95572	1.3	1.0359	1.3	1.12089	1.3	1.18645
1.32	0.04197	1.32	0.2864	1.32	0.52074	1.32	0.7194	1.32	0.85315	1.32	0.95883	1.32	1.04058	1.32	1.12771	1.32	1.19354
1.33	0.03894	1.33	0.28307	1.33	0.51886	1.33	0.71893	1.33	0.85419	1.33	0.96179	1.33	1.04516	1.33	1.13451	1.33	1.20051
1.35	0.03563	1.35	0.27951	1.35	0.51684	1.35	0.71824	1.35	0.85499	1.35	0.96458	1.35	1.04965	1.35	1.14129	1.35	1.20735
1.36	0.03202	1.36	0.27571	1.36	0.51467	1.36	0.71734	1.36	0.85554	1.36	0.96721	1.36	1.05404	1.36	1.14807	1.36	1.21406
1.38	0.02807	1.38	0.27164	1.38	0.51235	1.38	0.71622	1.38	0.85584	1.38	0.96967	1.38	1.05832	1.38	1.15485	1.38	1.22065
1.4	0.02376	1.4	0.26729	1.4	0.50987	1.4	0.71486	1.4	0.85587	1.4	0.97195	1.4	1.0625	1.4	1.16162	1.4	1.22709
1.41	0.01907	1.41	0.26264	1.41	0.50722	1.41	0.71325	1.41	0.85562	1.41	0.97405	1.41	1.06657	1.41	1.1684	1.41	1.2334
1.43	0.01397	1.43	0.25767	1.43	0.50439	1.43	0.71138	1.43	0.85507	1.43	0.97596	1.43	1.07054	1.43	1.17518	1.43	1.23957
1.44	0.00842	1.44	0.25236	1.44	0.50137	1.44	0.70925	1.44	0.85422	1.44	0.97767	1.44	1.07439	1.44	1.18198	1.44	1.24559
